Postcode,SA4,Relevance
2672,Far West and Orana,0.0669816
2675,Riverina,1.0
2678,Riverina,1.0
2680,Riverina,1.0
2681,Riverina,1.0
2700,Murray,0.0021463
2700,Riverina,0.9978537
2701,Riverina,1.0
2702,Riverina,1.0
2703,Riverina,1.0
2705,Riverina,1.0
2706,Riverina,1.0
2707,Murray,0.004481
2707,Riverina,0.995519
2710,Murray,0.9999999
2711,Murray,0.9297725
2711,Riverina,0.0702275
2712,Murray,0.9999133
2713,Murray,1.0
2714,Murray,0.9996185
2714,Shepparton,0.0003815
2715,Murray,0.9998619
2715,North West,0.0001381
2716,Murray,0.9999972
2717,Murray,1.0
2720,Riverina,1.0
2721,Central West,1.0
2722,Riverina,1.0
2725,Riverina,1.0
2726,Capital Region,1.0
2727,Riverina,1.0
2729,Riverina,1.0
2730,Riverina,1.0
2731,Murray,1.0
2732,Murray,0.997461
2732,North West,0.002539
2733,Murray,1.0
2734,Murray,0.9999998
2735,Murray,0.9092328
2735,North West,0.0907672
2736,Murray,1.0
2737,Murray,1.0
2738,Murray,0.999919
2739,Murray,1.0
2745,Sydney - Outer West and Blue Mountains,0.9863722
2745,Sydney - South West,0.0136278
2747,Sydney - Blacktown,0.0115888
2747,Sydney - Outer West and Blue Mountains,0.9884112
2748,Sydney - Outer West and Blue Mountains,1.0
2749,Sydney - Outer West and Blue Mountains,1.0
2750,Sydney - Outer West and Blue Mountains,1.0
2752,Sydney - Outer West and Blue Mountains,0.9999998
2753,Sydney - Baulkham Hills and Hawkesbury,0.1923273
2753,Sydney - Outer West and Blue Mountains,0.8076727
2754,Sydney - Baulkham Hills and Hawkesbury,0.1300132
2754,Sydney - Outer West and Blue Mountains,0.8699868
2755,Sydney - Outer West and Blue Mountains,1.0
2756,Sydney - Baulkham Hills and Hawkesbury,0.518924
2756,Sydney - Outer West and Blue Mountains,0.481076
2757,Sydney - Baulkham Hills and Hawkesbury,1.0
2758,Sydney - Baulkham Hills and Hawkesbury,0.9968217
2758,Sydney - Outer West and Blue Mountains,0.0031783
2759,Sydney - Outer West and Blue Mountains,1.0
2760,Sydney - Blacktown,0.0545439
2760,Sydney - Outer West and Blue Mountains,0.9454561
2761,Sydney - Blacktown,1.0
2762,Sydney - Blacktown,1.0
2763,Sydney - Blacktown,1.0
2765,Sydney - Baulkham Hills and Hawkesbury,0.3851223
2765,Sydney - Blacktown,0.498256
2765,Sydney - Outer West and Blue Mountains,0.1166217
2766,Sydney - Blacktown,1.0
2767,Sydney - Blacktown,1.0
2768,Sydney - Blacktown,1.0
2769,Sydney - Blacktown,1.0
2770,Sydney - Blacktown,1.0
